25|8.349456|DNS(UDP)|Standard query 0xe2a9 SRV _ldap._tcp.dc._msdcs.attlocal.net|192.168.1.244:58145|192.168.1.254:53|93|e2a901000001000000000000055f6c646170045f746370026463065f6d73646373086174746c6f63616c036e65740000210001
26|8.354154|DNS(UDP)|Standard query 0x0eb0 A www.msftconnecttest.com|192.168.1.244:57954|192.168.1.254:53|83|0eb001000001000000000000037777770f6d736674636f6e6e6563747465737403636f6d0000010001
27|8.369132|DNS(UDP)|Standard query response 0xe2a9 No such name SRV _ldap._tcp.dc._msdcs.attlocal.net SOA localhost|192.168.1.254:53|192.168.1.244:58145|149|e2a985830001000000010000055f6c646170045f746370026463065f6d73646373086174746c6f63616c036e65740000210001c0210006000100000e10002c096c6f63616c686f7374000a706f73746d6173746572c03f777369b100000e100000070800093a8000000e10
28|8.369133|DNS(UDP)|Standard query response 0x0eb0 A www.msftconnecttest.com CNAME v4ncsi.msedge.net CNAME ncsi.4-c-0003.c-msedge.net CNAME 4-c-0003.c-msedge.net A 13.107.4.52|192.168.1.254:53|192.168.1.244:57954|181|0eb081800001000400000000037777770f6d736674636f6e6e6563747465737403636f6d0000010001c00c000500010000082900130676346e637369066d7365646765036e657400c03500050001000000230019046e63736908342d632d3030303308632d6d7365646765c043c05400050001000000230002c059c059000100010000002400040d6b0434
29|8.370852|TCP(TCP)|57890 \xe2\x86\x92 80 [SYN] Seq=0 Win=64240 Len=0 MSS=1460 WS=256 SACK_PERM=1|192.168.1.244:57890|13.107.4.52:80|66|
30|8.381705|TCP(TCP)|80 \xe2\x86\x92 57890 [SYN, ACK] Seq=0 Ack=1 Win=65535 Len=0 MSS=1440 WS=256 SACK_PERM=1|13.107.4.52:80|192.168.1.244:57890|66|
31|8.381834|TCP(TCP)|57890 \xe2\x86\x92 80 [ACK] Seq=1 Ack=1 Win=132352 Len=0|192.168.1.244:57890|13.107.4.52:80|54|
32|8.385063|HTTP(TCP)|GET /connecttest.txt HTTP/1.1 |192.168.1.244:57890|13.107.4.52:80|165|474554202f636f6e6e656374746573742e74787420485454502f312e310d0a436f6e6e656374696f6e3a20436c6f73650d0a557365722d4167656e743a204d6963726f736f6674204e4353490d0a486f73743a207777772e6d736674636f6e6e656374746573742e636f6d0d0a0d0a
33|8.41147|TCP(TCP)|80 \xe2\x86\x92 57890 [ACK] Seq=1 Ack=112 Win=262656 Len=0|13.107.4.52:80|192.168.1.244:57890|60|000000000000
34|8.413941|HTTP(TCP)|HTTP/1.1 200 OK  (text/plain)|13.107.4.52:80|192.168.1.244:57890|566|485454502f312e3120323030204f4b0d0a43616368652d436f6e74726f6c3a206e6f2d73746f72650d0a436f6e74656e742d4c656e6774683a2032320d0a436f6e74656e742d547970653a20746578742f706c61696e3b20636861727365743d7574662d380d0a4c6173742d4d6f6469666965643a205468752c2031362041707220323032302031383a35383a323620474d540d0a4163636570742d52616e6765733a2062797465730d0a455461673a2030783844333433463945393643394441430d0a4163636573732d436f6e74726f6c2d416c6c6f772d4f726967696e3a202a0d0a4163636573732d436f6e74726f6c2d4578706f73652d486561646572733a20582d4d53456467652d5265660d0a54696d696e672d416c6c6f772d4f726967696e3a202a0d0a582d436f6e74656e742d547970652d4f7074696f6e733a206e6f736e6966660d0a582d4d53456467652d5265663a2052656620413a2042423536433832433943413634323735383441453533453636363238304331362052656620423a2044414c45444745303630362052656620433a20323032302d30352d30355430333a32373a31365a0d0a446174653a205475652c203035204d617920323032302030333a32373a313520474d540d0a436f6e6e656374696f6e3a20636c6f73650d0a0d0a4d6963726f736f667420436f6e6e6563742054657374
35|8.413942|TCP(TCP)|80 \xe2\x86\x92 57890 [FIN, ACK] Seq=513 Ack=112 Win=262656 Len=0|13.107.4.52:80|192.168.1.244:57890|60|000000000000
36|8.41401|TCP(TCP)|57890 \xe2\x86\x92 80 [ACK] Seq=112 Ack=514 Win=131840 Len=0|192.168.1.244:57890|13.107.4.52:80|54|
37|8.415951|TCP(TCP)|57890 \xe2\x86\x92 80 [FIN, ACK] Seq=112 Ack=514 Win=131840 Len=0|192.168.1.244:57890|13.107.4.52:80|54|
38|8.427848|TCP(TCP)|80 \xe2\x86\x92 57890 [ACK] Seq=514 Ack=113 Win=262656 Len=0|13.107.4.52:80|192.168.1.244:57890|60|000000000000
39|8.619621|TLSv1.2(TCP)|Application Data|192.168.1.244:56773|3.208.72.73:443|271|17030300d427ac3b94c6928065e43279a424f04c34c455c2ca9340cefd0132423c9a0e0c10d05fd9ab971dce0a25b4d7e115d43b72d32e9fc797eb2b685166f3c15e3eba63405dd7b3cbfd61fedcf51d9244cbd02f51a37c8bf53140c2054947f4c5363c32c357ff8a42fe41ae5cfdc5fd6e30da2c3ff6bb6f52dcab879bef02bcca2c27c347420cd8613ef7b5fb0fe8d8ba58997248008b54f924941cc827af8b17a6baf26ecf07976372590df4c56a6959ea947b5fdc477815001085c7272e2ac163369bded6192430c2ea25e8b575d58e0490557f5c0f5b
40|8.663658|TCP(TCP)|443 \xe2\x86\x92 56773 [ACK] Seq=1 Ack=218 Win=48 Len=0|3.208.72.73:443|192.168.1.244:56773|60|000035a7138c
41|8.664002|TLSv1.2(TCP)|Application Data|3.208.72.73:443|192.168.1.244:56773|249|17030300bec894527814dbac2a36228f3715d06d9b7012571390582dccc2b524c1ad37403e5261427ecdaf4808cdf27fcc71acb9a13ab9cbb88e82ce5b5ddb2b39fbae94a23e8fa100c2f4917cda269f903bd3b326bfb776361d98c250dbb2e5744e09ffc4687dc7c148a30fe12cba1178ce8e7964e74a1bcae8a5207302ae5c1a4fd935544647e4fa153a3f224c94601c84620ed35e2109d5e376db150158b1028da4775575ff82c26937c36870d1ef91ac3f95955b198cc4253a8d90058cd2a2e4ae
48|8.739859|LLMNR(UDP)|Standard query 0xb5fe ANY DESKTOP-LBSUNMF|192.168.1.244:51408|224.0.0.252:5355|75|b5fe000000010000000000000f4445534b544f502d4c4253554e4d460000ff0001
49|8.864728|TCP(TCP)|56773 \xe2\x86\x92 443 [ACK] Seq=218 Ack=196 Win=509 Len=0|192.168.1.244:56773|3.208.72.73:443|54|
50|8.873966|UDP(UDP)|50580 \xe2\x86\x92 443 Len=33|192.168.1.244:50580|108.177.8.189:443|75|582aef3ed2f7b06a6674d586bbc214453a2728de3f02d49c447655f6b4cc825212
51|8.874064|UDP(UDP)|50580 \xe2\x86\x92 443 Len=679|192.168.1.244:50580|108.177.8.189:443|721|582aef3ed2f7b06a665577d1872f920bcf9f5de88061bece7060d2ecc38d69ca422a1b75ef1e7813ede8a3b69fedd630218d07d6ec639d39fd6b04a7b75e2ef5059e16157d306da0615c1ba9f42901f42ebfb33daa9789505f67b4cf7961bb9b27421d3a1e0eb4590dc93c1634b56b11dc072a177a287b2cf78168313676d092a5530d2ae8e6e772f6fea2449e76bec6e32c797a599299c8c5fdf3346e20ac507c97e47564f05adc95d77b5d67948ab5c11e427f7f90e93ff5f54bda733998826653d7d37038e3169f9cc1a9d8282b0806e16578366a9ba426b5ee8f6fb1e07c37707605b9ecf1fe664cffd478958ec66d81ccce84b1c6c188f79f439f4d334df46c41edacd45bd4939a9cef1832b0579856ae85f554fa6b16c3af33348a867d83536c95cef11c68e8007b1c6d5abc69268139efa7941307e0403c33365dd1024f25911c4bcbb9c4e69a3e05844c6e70c721d9846aceef0950ad709d3dcdca793230c69786466ae94dbedb27de4ff98958ef37bdd5da24252c58bc330608683aabf963d867f28fa55435915559ee7e484e67fc0b8dba17c08343b8a86ba6332f055a3f98efdd12eef4e76ce607242591ed492435d3fbd8e096544033317bfa8d7cc38c16a1e038f9e4a968ed8afdc90173c8bdd6cce9ec3ccd590b51cc0dfaac2a69b6ff5a2ee31ab530f71f6fe47727ead8714aeed4abbe3251dc43171e7e7dbf0deee0fde1f97c4e042414b82c131543cc3a86cbbd92a7f20bb5b41d2784ffa5e3bb9a6d3a2f75bbbc4d27107f593190fb7a86a514c103c72ba9201f5705919bb04763528926d1473301c3a208101a757a9946fc8d87364960f86d681ea261773d27f4d926b74b540cfca1449d8fe14243c342694a2b6a74bd7ff56aa7259b64e0ae1e91ee2efde66031cd820237c68ebf0e09e05c0e1d81221dc6572b35e4c3fec889c74d79
52|8.886899|UDP(UDP)|443 \xe2\x86\x92 50580 Len=28|108.177.8.189:443|192.168.1.244:50580|70|44615b798d0248624460d1cea3b0eb7384824063d7b0687b851a68f1
53|8.887523|UDP(UDP)|50580 \xe2\x86\x92 443 Len=679|192.168.1.244:50580|108.177.8.189:443|721|5e2aef3ed2f7b06a66040c3cca438e04dcd42b05eeb359ff52d85680fa523a54d39b142879a36430d69681fcb4b8a5accbf2d6e209c88fbc03699292c8fca282c4c6a6703832bc8ee43543ab1262f529b71d57af0d4348260e939c31e8364f1919a4b7c4c30058a2030588bdd52a0542e365f2be2d89af38f5515864e25d5ad3f20a9de5f38f3ed9bb4d451c7c4ac545eb8c8ab9097d572be480e74bbdf86db8298135e49eb0da4ff3bb1d1237fe04a06dcacba5899fb22f228a0b17d3f9bdca0ff1977107a632f193738363cdc7ceeb88380511e8a8c89989a781067756447bc0c984ad4832143d36c13cc0b09774ab34480164a6f7221eaf6e5562375169a74c717a9e033ea8bb4d6663ecccca5d84a7b25bdec52f70dc01f6f3b0a24650fa473a97449ab4086cc26bc41ce3970bd1fce31d415086d7d5b17727f2784d549344894a118ce985f30294a72ce48a3d63c8fb62ea8db09ab1a61183f7a30f8591c1ff34eb06fa0b82c8cc8543a6849ddd4efc34dd49faa005fa3ade5ec713bc212f17caaee4dc9062ecd2b4f1c0281fa1623e3bcf2bd5c4319beefecae31f495b1c10d7b05d16324b7927c30cc3e511fafa1d37d6e9e8d0a5377e473802347aea09753ca3aab74b2c49026c9dfffae4f80a5885debab29cbc5fa5a446519df0853ec513e9ba63df34d7db29d42a1ca8dee2ab632246f59ea9a3591d1bdcf3af9ee83ce7bb063d81487121665a775ba78b774858c405788fc2dcc928c6a0455c9dee38b8f87be8af42fbe168e699aed04811bdef8e14d59da71d8280b41051962c37f5cdc3eec4aba9292a30febe7883efba0f5c15c75eb476376e06bdefd529fab68acfa115a73fb16c36c747031b8a0be51409fc7f8ab54f52ead563db414d560a2605c420635f48641ae94a2dba4cf25c9c0651d4242b775d2e13546acaa1024a3d12b13b38ae
