2|0.050775|UDP(UDP)|63282 \xe2\x86\x92 443 Len=33|192.168.1.244:63282|172.253.127.189:443|75|5c4f8be752d1405c37008e9d3bb86a3d6a676e66fd5beae7123208749bec416125
19|6.762212|SSDP(UDP)|NOTIFY * HTTP/1.1 |192.168.1.82:46433|255.255.255.255:1900|529|4e4f54494659202a20485454502f312e310d0a484f53543a203233392e3235352e3235352e3235303a313930300d0a43414348452d434f4e54524f4c3a206d61782d616765203d20313830300d0a4c4f434154494f4e3a20687474703a2f2f3139322e3136382e312e38323a313430302f786d6c2f6465766963655f6465736372697074696f6e2e786d6c0d0a4e543a2075706e703a726f6f746465766963650d0a4e54533a20737364703a616c6976650d0a5345525645523a204c696e75782055506e502f312e3020536f6e6f732f35362e302d373630363020285a50533134290d0a55534e3a20757569643a52494e434f4e5f39343946334544363532393030313430303a3a75706e703a726f6f746465766963650d0a582d52494e434f4e2d484f555345484f4c443a20536f6e6f735f375a314a3232566447787169624a65797558487567704a356d6e0d0a582d52494e434f4e2d424f4f545345513a2034310d0a582d52494e434f4e2d574946494d4f44453a20310d0a582d52494e434f4e2d56415249414e543a20320d0a484f555345484f4c442e534d415254535045414b45522e415544494f3a20536f6e6f735f375a314a3232566447787169624a65797558487567704a356d6e2e7764362d585f4368324b4f484b3330456c4876420d0a0d0a
20|6.762213|SSDP(UDP)|M-SEARCH * HTTP/1.1 |192.168.1.82:59097|255.255.255.255:1900|275|4d2d534541524348202a20485454502f312e310d0a484f53543a203233392e3235352e3235352e3235303a313930300d0a4d414e3a2022737364703a646973636f766572220d0a4d583a20310d0a53543a2075726e3a736368656d61732d75706e702d6f72673a6465766963653a5a6f6e65506c617965723a310d0a555345522d4147454e543a204c696e75782055506e502f312e3020536f6e6f732f35362e302d373630363020285a50533134290d0a582d52494e434f4e2d484f555345484f4c443a20536f6e6f735f375a314a3232566447787169624a65797558487567704a356d6e0d0a0d0a
21|6.762213|SSDP(UDP)|M-SEARCH * HTTP/1.1 |192.168.1.82:59097|255.255.255.255:1900|253|4d2d534541524348202a20485454502f312e310d0a484f53543a203233392e3235352e3235352e3235303a313930300d0a4d414e3a2022737364703a646973636f766572220d0a4d583a20310d0a53543a2075726e3a736368656d61732d75706e702d6f72673a736572766963653a436f6e74656e744469726563746f72793a310d0a555345522d4147454e543a204c696e75782055506e502f312e3020536f6e6f732f35362e302d373630363020285a50533134290d0a582d52494e434f4e2d484f555345484f4c443a204e2f410d0a0d0a
24|8.421149|UDP(UDP)|63908 \xe2\x86\x92 443 Len=797|192.168.1.244:63908|74.125.1.169:443|839|40ac8f82cb5b91cf6d4d718f36de9a87a64c6c5243905096aa07d90b63e825753f13b5ec04d00f542f27590c05de76cb7e4d3fb7512938e7ef1068e6cbc1f8f81ccfd1c30eea89726ba4ea1ada92197262a140d541128b35f3e2cf5128e9b65c6559613fcf902fd835161b3ed4a174d4005a95f9448eef5d4bc66045c36c6d156930661f7af5ede386b02a4052c9fb58b8c11dc911ccbc31a9be9afa8914c7e8701fd327ac78970541b27e29f41aa2f72d6ff6e1ccc77acea24d303050c5d8e020a8cd49fb5cb56ae86a5f1a0f05d7bc5e83af68986a2fa98c1e3e8bdf94e8cfe40190f369667562abbf307041ca66a95f9714bc19b7cca64070f18f836cf1f033646bf44383f78c7451f8d49be6f0e6382392b678a3b9c8bdf1b80ba74fe15c4e7574e9977f22d3345785772f6f24779d0eeb3fae76df438cb200c7fcaf55c232c83025b3e10137b1e3effebb6e9b97180f9702603f3e09c53634b5a4da19258383d698f1a88b12bb96ff163ed52b61e4089e2c3e448ba35acf3a73f1b4b237f9f051458ed80c5f8027a8e4b49087fdaf3a730437cd9a3e2d652a4605098b0ac60fa999d2b04acb8f1c71270a3b28cd99a8eb0781ff0dc5a25391c8bc8e75c901b46cf1334fa1f2266a4c61b8d3f0cf4440969529324caf16b286739a5e1c5bffd6f7fa875da7e92856d363813c60e317c377c366808ef42d428dbf2b5710fa33fc7aaca2cbc095124017c92ca6ccbb6b76eb1ddb5d38c6e2da2bce378d1e05f684d9963016e7aad67f1cf3936ce10ddfe37a88896d3d6df35b6a1c830834b4a664af9a1a56a6ae593392194495af234a96b7504b21a2a7f799bdc7edaeb6e594794ca82c485660dfdcac27396199faf1ea37c02ca0632c3ba0c910bfe48cc9815a3c99fc70b28818569650dfc877545b8691171011b0caddbcc29c414a121dde6a3f9abd23ec37a70d5d6e48349ce7fab8852e5224a1ac651f987b582c7afa8b160f330250115bae5f6dc7af111cb7c03d62b992511f3706c94a2befefdff46febcd814ec9716caf386b9493a671b1d71666fd9535d346cb0ccbf538d11a0752e224f6866c06aa4748965a49105427dc987af7bf191dda38f1039674
25|8.515195|TLSv1.2(TCP)|Application Data|192.168.1.244:58004|3.235.72.248:443|89|170303001ea7d89f36aea3a415b41ce24ddfb8bf01cb6d30da16b1b7eed2d81ff91938
26|8.562056|UDP(UDP)|63908 \xe2\x86\x92 443 Len=797|192.168.1.244:63908|74.125.1.169:443|839|40ac8f82cb5b91cf6d4e38a21c9c8538f537468090b2f25df1600251bb4c1d3902d7904d8b0eb473766f4bdafa6b0a49e94c12a57a7bf540e3d7e191b5e6cf50f5e9c6a3553394744db9fb01a5fc9a6557d1549952490b1ba888101e61371ccdc8adfbd6ac5da684bb07b544eee530187c7ee79c0bbdc7b7fc12a8b29b72994e36ec97001454f13e8a59c4a04a1cbedfa9796bd0a4c6a0e19ff1ed2d4597523495b4fea6dc171a471858c267c67073b3f341dbb5d9f4baf08e0a52e14da63b3e0add5ccaa18093de14c0f34b8f2a9a7b2554afc21a815a7565a146e27f80f76d7d8724ba56c0963bd879e20531bb589cb43d382d7a969b4fe0f0f0f7c15f92e99523d1351e8d06938a3c6c1064612aec4ee12ee897784fe0fb2899373797c26009094a26facf4aed922140417899d1577f8b05a7665509cbe9f32e90b30cbcb35d4ab9e857290d2a704dd749742cf2adad803e1f39e1254e2159c75029a162396be1a64a18a722cb586d27d533d749827594d87b00060fa4f8d540469f72acc156a4e11ec7423850fba1df1504e2c34f8fdd982aee6ad7c1af2f6cf732e97d2235a8b997c06581c2a1b5cee265fcb9a6f35cc626938bdb57cada4bb31e5c751146dbb8c9a1bf67a87e57095fdec597ca21bbd4f62f7169d6dc48c920be62df9adad398abe9bfd6ed5b1514d5e7b92d375ac00732451976151ffb406166d5851ef558c77cb6dd0f7ba59fef02ab102ce2916b36adce208c047f7eb78ef9d7fbf106285d9aff5286ee91ca17e8b049bb33eae6545c3798fb4284c162d286992617b066aa395e274edd2a6339b1d58bc6f794663e1023f044474e2a50559915f4db1b3d2d512a1870bbb8110ff875964144ed173415afa51cbb5766586dd2b44c5bd4d79aae60782292b8894a388314bb210abde996df0d5ff8e0f7209697aa80c00b26a6d9046276ae83285465e85498341f63d4ba1246d1f37676098cf71d9b29e7a395a67438ce112a6a91efdaa94a3af6932f8065bc7fb6d58d4927d36a1f4015ff1f34c5cfaf54c4ee272fea44423d11d1e5e3ba0965b9f68cb17009ccb1ec4931d50cefe3941512cc359e342b45e01bdfd96a2c76aad3ab5054d39b
27|8.615391|UDP(UDP)|63908 \xe2\x86\x92 443 Len=797|192.168.1.244:63908|74.125.1.169:443|839|40ac8f82cb5b91cf6d4f3f79eaa5355a8196f2208ea3e8efa5085aa15e938e9c58bb9a1a919aff6cba4f5a6c2c401be41be51244f1c047dfca6c247224db2a85ba6011a53b05518d120ca5f1b623e115885b24a7325bb04f641a3a1f6fa9817b6ca60cd869d538d58383f084cde3a796fd4a35bd53131ce5940d5b618919b3bdf2d83d8ada1f579f0644a1583c92d3ddcbefe59ff1332d0f19d69b8a006a79eec90c5dd6b7122997a0a3ebca72270605a13711e9117fc29aa0eb9202f68f8f898de112928b8f77fc42bdcc56879729d664ab7be85c98a42f5831ff466bd5869cebebbbadb725dc079323b91ca42cddb041642a69b8e9d206e9e45e9e011abe37f1aa77456fc820782ee467887795c125dc5adba7857ece4e5461c8bc737d16776c851228f81132bed8d098ca58689305608fb9397609063afe96021e8415b3e788884c9ded0342730c48e09638e5154d0202e6f108da6e6b60789681983c80ac19dec3d1c36f7704d6bf3fb4fae096ac7087306eedbd6406b0414a2eb85011177919d17e991c613162fb38dd54a3a926dfc9e098608fb5ea7161750abaa0a9a62c94c5af855e9f9630b6ff863e8017ad98ffc11efb57105612f872630725280a7084fed765dba082c965e52e21e2734be9202e2d3f97182a42933d658f939115f5103622127a490e9a552ff61eca6f24e758f606e28c5ccbbb8ffb6dca54aefdc0e55857cb5fe1371c6e3398afdcc324473b07f90ecb625ac4a5c132f76d35f9f60a5c388993af17640e9e8bb23f34173933d648385965cf41e0a6609ce11d05ab21b9f7086e9cb43c0f937f3249bfa1fce8c1bb41f39c74eca220de17d4e4b1f5c9c50f4f7ba2b7a42a0f4de8fa95d07fa9347e2e9263a77ad38c1911e9f8809e41a437903d4bd2857ef99c97f177f15b2ecdc37c212cfa7a754d133d090a3140c82e21e75e7cb95fe9ee01276668e33f41f0cbfa16d914fdea3c513936a71833708c617b887e18249700f7497a1b10f0eb067084bedae8710ad3890ba7ed950a88b27e848dcccd73ce8d5c9fdd4c19b45dcbe26915369cb40a8844ebf87d2060466f6cb637f1ad74394957ff7e405eacc2844aed8cb90ddac5a0087e
28|8.772175|TCP(TCP)|[TCP Retransmission] 58004 \xe2\x86\x92 443 [PSH, ACK] Seq=1 Ack=1 Win=63477 Len=35|192.168.1.244:58004|3.235.72.248:443|89|170303001ea7d89f36aea3a415b41ce24ddfb8bf01cb6d30da16b1b7eed2d81ff91938
29|8.816874|UDP(UDP)|63908 \xe2\x86\x92 443 Len=797|192.168.1.244:63908|74.125.1.169:443|839|40ac8f82cb5b91cf6d50694ad8e6db012e1008d3f169f8111e3e80b86e1812d9427c25ef123c0abf249e37325bf37fe750e0603a8701ef8e4e8b675ce4f0364c00f75d95ac8efc72d0673cd12f7b257014ba92c2565f830ccf1238dd5aec860e9cb124a4d0adaa6dd06711787a9d7ad3b0c9af9feb1669a8c61cda422e870a03954ebb6815e407e754c9c2fc0c004ef32839ee634a48f43c1631f8aee34769cbdc8cb4b8fe60743bcff7079a32ba366874bcacbac0dbda2f156cf7f5a0f0e4c75f3732ad2fa1d14ea783a4e62571e23503437575752e5164c33c2f20afdc588e20ad12d67a468c3f6e1881fc26cc42453923787e201a426a3f14159adc01909bc9e92b7fec29aee61f8fde20383e54d377b16ad9881aff6a2a04f96bf6492e8b4bcf00f3adf5233b88a98b4f51a7290cc22aa830064b593154b27160db0ca38fce8a994256468c2916f0ad4675eff2441244a7461cd813abe67453ee962b031711b269813f3f2cf7e26f132197cd845fee223dcd22200591e4a60b674137f5a290a12170597daacb79a51d721c7083f797067fe0705080e4b6ccbac83bdd92d1a24beec646f7837c4fbe8b96dc9f039085c49d6bf2efe0550f30d5795b40fbc0ce85586560cc79ebed1b042701abec7808c09301dd212e8842616109e4e9bbd18e5d4a00ebdba25dd03442c4757e2eeb10750534bbae92a48c7bf64a6cae2d872dbf8e4a446b46aa0605b4928ba4696a0e23b2a1e81318481120692adcdc7228893874527dc3bc269ce5e128cecd625295a5b86484f58720001d0ac33019097b7a2c652a5e39ecbb3b1b00bc3a7874dcf2efb82c131bd7644e97822e64c56b496fab5b1c8841dfcdf6801e4a3041c6c5069cdd898f3ceab21013f78c7900f7f1e0189f62e5661d649968ba64993b08553e7ed6a7805f8d0a2cb7d1de0aa0b655c73bceb58e50e18c81f822f3d8181267620e41255da8443ea8d3b0aa05215b51242b0f380f63fe6cadfe1b1c9d36455aa2f248f6979f9852a1016bf164a866a383f26e70f2834bf8f4becda08319d8e632bd3ab8f6f4b425e512dce06c27ed452100f5d6dc6978a701a7fe44892cb42ae32e2d2456097bf85dc696dd21
30|9.072216|TCP(TCP)|[TCP Retransmission] 58004 \xe2\x86\x92 443 [PSH, ACK] Seq=1 Ack=1 Win=63477 Len=35|192.168.1.244:58004|3.235.72.248:443|89|170303001ea7d89f36aea3a415b41ce24ddfb8bf01cb6d30da16b1b7eed2d81ff91938
