25|0.182521|HTTP(TCP)|HTTP/1.1 200 OK  (text/plain)|13.107.4.52:80|192.168.1.244:57951|566|485454502f312e3120323030204f4b0d0a43616368652d436f6e74726f6c3a206e6f2d73746f72650d0a436f6e74656e742d4c656e6774683a2032320d0a436f6e74656e742d547970653a20746578742f706c61696e3b20636861727365743d7574662d380d0a4c6173742d4d6f6469666965643a205468752c2031362041707220323032302031383a35383a323620474d540d0a4163636570742d52616e6765733a2062797465730d0a455461673a2030783844333433463945393643394441430d0a4163636573732d436f6e74726f6c2d416c6c6f772d4f726967696e3a202a0d0a4163636573732d436f6e74726f6c2d4578706f73652d486561646572733a20582d4d53456467652d5265660d0a54696d696e672d416c6c6f772d4f726967696e3a202a0d0a582d436f6e74656e742d547970652d4f7074696f6e733a206e6f736e6966660d0a582d4d53456467652d5265663a2052656620413a2038303234454339423430373734304645423530453345434435453038413439462052656620423a2044414c45444745303931312052656620433a20323032302d30352d30355430333a33363a34335a0d0a446174653a205475652c203035204d617920323032302030333a33363a343320474d540d0a436f6e6e656374696f6e3a20636c6f73650d0a0d0a4d6963726f736f667420436f6e6e6563742054657374
26|0.182522|TCP(TCP)|80 \xe2\x86\x92 57951 [FIN, ACK] Seq=513 Ack=112 Win=2102272 Len=0|13.107.4.52:80|192.168.1.244:57951|60|000000000000
27|0.182574|TCP(TCP)|57951 \xe2\x86\x92 80 [ACK] Seq=112 Ack=514 Win=131840 Len=0|192.168.1.244:57951|13.107.4.52:80|54|
28|0.182591|TCP(TCP)|57951 \xe2\x86\x92 80 [FIN, ACK] Seq=112 Ack=514 Win=131840 Len=0|192.168.1.244:57951|13.107.4.52:80|54|
29|0.19051|TCP(TCP)|80 \xe2\x86\x92 57951 [ACK] Seq=514 Ack=113 Win=2102272 Len=0|13.107.4.52:80|192.168.1.244:57951|60|000000000000
30|0.220469|SSDP(UDP)|NOTIFY * HTTP/1.1 |192.168.1.82:46433|255.255.255.255:1900|526|4e4f54494659202a20485454502f312e310d0a484f53543a203233392e3235352e3235352e3235303a313930300d0a43414348452d434f4e54524f4c3a206d61782d616765203d20313830300d0a4c4f434154494f4e3a20687474703a2f2f3139322e3136382e312e38323a313430302f786d6c2f6465766963655f6465736372697074696f6e2e786d6c0d0a4e543a20757569643a52494e434f4e5f39343946334544363532393030313430300d0a4e54533a20737364703a616c6976650d0a5345525645523a204c696e75782055506e502f312e3020536f6e6f732f35362e302d373630363020285a50533134290d0a55534e3a20757569643a52494e434f4e5f39343946334544363532393030313430300d0a582d52494e434f4e2d484f555345484f4c443a20536f6e6f735f375a314a3232566447787169624a65797558487567704a356d6e0d0a582d52494e434f4e2d424f4f545345513a2034310d0a582d52494e434f4e2d574946494d4f44453a20310d0a582d52494e434f4e2d56415249414e543a20320d0a484f555345484f4c442e534d415254535045414b45522e415544494f3a20536f6e6f735f375a314a3232566447787169624a65797558487567704a356d6e2e7764362d585f4368324b4f484b3330456c4876420d0a0d0a
31|0.246625|DNS(UDP)|Standard query 0x19e0 A skydrive.wns.windows.com|192.168.1.244:54750|192.168.1.254:53|84|19e00100000100000000000008736b79647269766503776e730777696e646f777303636f6d0000010001
32|0.259255|DNS(UDP)|Standard query response 0x19e0 A skydrive.wns.windows.com CNAME client.wns.windows.com CNAME wns.notify.windows.com.akadns.net CNAME americas1.notify.windows.com.akadns.net CNAME dm3p.wns.notify.windows.com.akadns.net A 52.230.222.68|192.168.1.254:53|192.168.1.244:54750|211|19e08180000100050000000008736b79647269766503776e730777696e646f777303636f6d0000010001c00c00050001000005dd000906636c69656e74c015c0360005000100000515002303776e73066e6f746966790777696e646f777303636f6d06616b61646e73036e657400c04b0005000100000035000c09616d65726963617331c04fc07a00050001000000bf000704646d3370c04bc092000100010000005c000434e6de44
33|0.259794|TCP(TCP)|57952 \xe2\x86\x92 443 [SYN] Seq=0 Win=64240 Len=0 MSS=1460 WS=256 SACK_PERM=1|192.168.1.244:57952|52.230.222.68:443|66|
34|0.28926|TCP(TCP)|443 \xe2\x86\x92 57952 [SYN, ACK] Seq=0 Ack=1 Win=8192 Len=0 MSS=1440 WS=1 SACK_PERM=1|52.230.222.68:443|192.168.1.244:57952|66|
35|0.289413|TCP(TCP)|57952 \xe2\x86\x92 443 [ACK] Seq=1 Ack=1 Win=132352 Len=0|192.168.1.244:57952|52.230.222.68:443|54|
36|0.290226|TLSv1.2(TCP)|Client Hello|192.168.1.244:57952|52.230.222.68:443|234|16030300af010000ab03035eb0df4cc2550d75bff0005b0e86903d7f25536df03df072afb4cb287904ddcf00002ac02cc02bc030c02f009f009ec024c023c028c027c00ac009c014c013009d009c003d003c0035002f000a010000580000001d001b000018736b7964726976652e776e732e77696e646f77732e636f6d000a00080006001d00170018000b00020100000d001400120401050102010403050302030202060106030023000000170000ff01000100
